tower_id,lat,lng,operator,signal_score,frequency_mhz,tx_power_dbm,height_m,zone,radio,range_m,samples,avg_signal_dbm,mcc,mnc,lac,cellid
OCI_404_45_9911,12.9,77.63,Airtel,65,900,43,35,HSR Layout,GSM,1000,1,0,404,45,4040,9911
OCI_404_45_15141,12.9,77.63,Airtel,65,900,43,35,HSR Layout,GSM,1000,1,0,404,45,4040,15141
OCI_404_45_26440741,12.9,77.63,Airtel,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,45,34034,26440741
OCI_405_803_13199504,12.9,77.63,Unknown,60,2100,43,30,HSR Layout,UMTS,1000,1,0,405,803,2012,13199504
OCI_404_45_27270288,12.9,77.63,Airtel,60,2100,43,30,HSR Layout,UMTS,1000,1,0,404,45,34034,27270288
OCI_404_86_20957682,12.82,77.65,Vi,60,2100,43,30,Electronic City,UMTS,1000,1,0,404,86,21901,20957682
OCI_404_45_28051,12.82,77.65,Airtel,65,900,43,35,Electronic City,GSM,2005,1,0,404,45,25093,28051
OCI_405_861_1545521,12.82,77.65,Jio,70,1800,46,30,Electronic City,LTE,1000,1,0,405,861,14,1545521
OCI_404_86_13432,12.82,77.65,Vi,65,900,43,35,Electronic City,GSM,1000,1,0,404,86,51114,13432
OCI_404_86_20957771,12.82,77.65,Vi,60,2100,43,30,Electronic City,UMTS,1000,1,0,404,86,21902,20957771
OCI_405_861_285717,12.82,77.65,Jio,70,1800,46,30,Electronic City,LTE,1000,1,0,405,861,14,285717
OCI_405_861_2216208,12.82,77.65,Jio,70,1800,46,30,Electronic City,LTE,1000,1,0,405,861,14,2216208
